legacy_partner_source,legacy_partner_id,name,top_partner_id,top_partner_name,top_score,fact_refs,reason,block_reason
xlsx_supplier_cooperat_company,name:德阳市区瑞克防水材料经营部,德阳市区瑞克防水材料经营部,6015,德阳市区瑞克防水材料经营部,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:德阳市华壹商贸有限公司,德阳市华壹商贸有限公司,3230,德阳市华壹商贸有限公司,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:德阳市吉瑞租赁有限公司,德阳市吉瑞租赁有限公司,2121,德阳市吉瑞租赁有限公司,22,2,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:德阳市浙民电器设备有限公司,德阳市浙民电器设备有限公司,218,德阳市浙民电器设备有限公司,34,6,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:德阳市罗江区社会保险服务中心,德阳市罗江区社会保险服务中心,3728,德阳市罗江区社会保险服务中心,25,5,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:德阳彤宁土石方工程有限公司,德阳彤宁土石方工程有限公司,1000,德阳彤宁土石方工程有限公司,29,9,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:德阳经开区旌鸿茂机械租赁经营部个体工商户,德阳经开区旌鸿茂机械租赁经营部（个体工商户）,5079,德阳经开区旌鸿茂机械租赁经营部（个体工商户）,32,4,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:忠县富民劳务有限责任公司,忠县富民劳务有限责任公司,2870,忠县富民劳务有限责任公司,23,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:成都宁锋商贸有限公司,成都宁锋商贸有限公司,4995,成都宁锋商贸有限公司,29,1,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:成都市长峰钢铁集团有限公司,成都市长峰钢铁集团有限公司,1245,成都市长峰钢铁集团有限公司,32,12,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:成都长红润晨建材有限公司,成都长红润晨建材有限公司,213,成都长红润晨建材有限公司,33,5,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:新疆凌新建筑工程有限公司,新疆凌新建筑工程有限公司,6519,新疆凌新建筑工程有限公司,32,4,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:旌阳区忠明工程机械设备租赁服务部,旌阳区忠明工程机械设备租赁服务部.,8539,旌阳区忠明工程机械设备租赁服务部.,28,0,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:旌阳区星龙机电经营部,旌阳区星龙机电经营部,7413,旌阳区星龙机电经营部,28,0,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:旌阳区睿行达建筑材料经营部,旌阳区睿行达建筑材料经营部,5520,旌阳区睿行达建筑材料经营部,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:旌阳区裕鑫五金经营部,旌阳区裕鑫五金经营部,5683,旌阳区裕鑫五金经营部,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:旌阳区金益建材经营部,旌阳区金益建材经营部,4661,旌阳区金益建材经营部,43,15,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:旌阳区鑫宇建材经营部,旌阳区鑫宇建材经营部,3171,旌阳区鑫宇建材经营部,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:旌阳区雷盾电动门维修经营部,旌阳区雷盾电动门维修经营部,417,旌阳区雷盾电动门维修经营部,29,1,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:普格县顺达经营部,普格县顺达经营部,276,普格县顺达经营部,22,2,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:永川区启乘机械设备租赁经营部个体工商户,永川区启乘机械设备租赁经营部（个体工商户）,5084,永川区启乘机械设备租赁经营部（个体工商户）,32,4,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:永州市智博工程有限公司,永州市智博工程有限公司,2143,永州市智博工程有限公司,43,15,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:江津区恒峰铝合金加工经营部,江津区恒峰铝合金加工经营部,3719,江津区恒峰铝合金加工经营部,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:深圳市正泓融资担保有限公司,深圳市正泓融资担保有限公司,1028,深圳市正泓融资担保有限公司,32,12,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:渝北区鸣谦机械设备租赁站,渝北区鸣谦机械设备租赁站,3922,渝北区鸣谦机械设备租赁站,34,6,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:璧山区林建工程机械租赁经营部,璧山区林建工程机械租赁经营部,4315,璧山区林建工程机械租赁经营部,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:疏附县华拓机械租赁部,疏附县华拓机械租赁部,5020,疏附县华拓机械租赁部,34,6,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:绵竹市辰之兴工程管理服务部,绵竹市辰之兴工程管理服务部,3055,绵竹市辰之兴工程管理服务部,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:绵阳市游仙区福贵工程机械租赁部,绵阳市游仙区福贵工程机械租赁部,3970,绵阳市游仙区福贵工程机械租赁部,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:绵阳源来志承油脂销售有限公司,绵阳源来志承油脂销售有限公司,4579,绵阳源来志承油脂销售有限公司,32,4,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:绵阳精运物流服务有限公司,绵阳精运物流服务有限公司,6413,绵阳精运物流服务有限公司,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:绵阳鑫泰水泥制品有限公司,绵阳鑫泰水泥制品有限公司,2990,绵阳鑫泰水泥制品有限公司,39,11,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:荣昌区昌州街道如鸿挖掘机租赁站,荣昌区昌州街道如鸿挖掘机租赁站,5882,荣昌区昌州街道如鸿挖掘机租赁站,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:西藏景胜工程技术有限公司,西藏景胜工程技术有限公司,4355,西藏景胜工程技术有限公司,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:遂宁市祥通建材有限公司,遂宁市祥通建材有限公司,1152,遂宁市祥通建材有限公司,22,2,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:重庆伟翰建筑设备租赁有限公司,重庆伟翰建筑设备租赁有限公司,4328,重庆伟翰建筑设备租赁有限公司,20,0,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:重庆图南供应链有限公司,重庆图南供应链有限公司,6246,重庆图南供应链有限公司,40,12,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:重庆市南川区财政局,重庆市南川区财政局,3589,重庆市南川区财政局,29,6,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:重庆建发建筑劳务有限公司,重庆建发建筑劳务有限公司,4933,重庆建发建筑劳务有限公司,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:重庆戴杨合建材有限公司,重庆戴杨合建材有限公司,271,重庆戴杨合建材有限公司,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:重庆柯腾建筑劳务有限公司,重庆柯腾建筑劳务有限公司,2766,重庆柯腾建筑劳务有限公司,29,1,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:重庆汇尔固机电设备有限公司,重庆汇尔固机电设备有限公司,6534,重庆汇尔固机电设备有限公司,24,4,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:重庆泸酒阁商贸有限公司,重庆泸酒阁商贸有限公司,6177,重庆泸酒阁商贸有限公司,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:重庆象征建筑设备租赁有限公司,重庆象征建筑设备租赁有限公司,6477,重庆象征建筑设备租赁有限公司,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:重庆鑫亚坤新型环保建材有限公司,重庆鑫亚坤新型环保建材有限公司,2917,重庆鑫亚坤新型环保建材有限公司,34,6,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:重庆零零柒工程担保有限公司,重庆零零柒工程担保有限公司,8595,重庆零零柒工程担保有限公司,28,0,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:金牛区浩辉建材经营部,金牛区浩辉建材经营部,4962,金牛区浩辉建材经营部,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:铜梁区渝铜电脑商行,铜梁区渝铜电脑商行,3496,铜梁区渝铜电脑商行,31,3,multiple_name_matches,manual_review_required
xlsx_supplier_cooperat_company,name:麦盖提县盛源水利电力工程有限公司,麦盖提县盛源水利电力工程有限公司,4498,麦盖提县盛源水利电力工程有限公司,31,3,multiple_name_matches,manual_review_required
