partner_id,name,match_method,updated_fields
197,中国人民财产保险股份有限公司德阳市分公司,vat,sc_region;sc_source_created_at;sc_source_created_by
2904,中铁十九局集团第三工程有限公司,exact_name,legacy_credit_code;legacy_tax_no;sc_source_created_at;sc_source_created_by;vat
3035,德阳农村商业银行股份有限公司,exact_name,sc_source_created_at;sc_source_created_by
3285,中江县中达财税咨询服务有限公司,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
3978,德阳建能职业培训学校,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
4191,四川欣兴档案管理咨询有限公司,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
4739,伽师工业园区管理委员会,exact_name,legacy_credit_code;legacy_tax_no;sc_source_created_at;sc_source_created_by;vat
4761,米易恒邦领晟置业有限公司,exact_name,legacy_credit_code;legacy_tax_no;sc_source_created_at;vat
5106,德阳市旌阳区黄许镇卫生院,exact_name,legacy_credit_code;legacy_tax_no;sc_source_created_at;vat
5230,旌阳区天元街道楠树村股份经济合作联合社,exact_name,legacy_credit_code;legacy_tax_no;sc_source_created_at;vat
5670,中国人民解放军32329部队,exact_name,sc_source_created_at;sc_source_created_by
6085,英吉沙县财政局,exact_name,legacy_credit_code;legacy_tax_no;sc_source_created_at;sc_source_created_by;vat
6469,四川三和源招标代理有限公司,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
6783,刘亚妮,exact_name,legacy_credit_code;legacy_tax_no;sc_source_created_at;sc_source_created_by;vat
7266,进项税金,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
7267,管理费用,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
7275,销项税金,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
7375,四川兴禾维工程项目管理有限公司,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
7446,企业所得税,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
7484,四川合和顺建设集团有限公司,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
7509,四川正益工程项目管理有限公司,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
7525,四川立格建设项目管理有限公司,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
7561,宣威市农业农村局,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
7604,德阳市旌湖宾馆有限责任公司,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
7674,成都诺美力威科技有限公司,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
7822,德阳市德加汽车服务有限公司,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
7825,德阳市旌阳区孝感街道金牛社区居民委员会,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
7860,田和全,exact_name,sc_default_tax_rate_text;sc_source_created_at;sc_source_created_by;sc_source_document_state
