legacy_partner_source,legacy_partner_id,name,reason,matched_ids
xlsx_supplier_cooperat_company,name:四川知诚博众商贸有限公司,四川知诚博众商贸有限公司,multiple_name_matches,8484;3914
xlsx_supplier_cooperat_company,name:四川科利建筑劳务发展有限公司,四川科利建筑劳务发展有限公司,multiple_name_matches,6057;5182;1643
xlsx_supplier_cooperat_company,name:四川美迅达通讯有限责任公司德阳分公司,四川美迅达通讯有限责任公司德阳分公司,multiple_name_matches,8486;4102
xlsx_supplier_cooperat_company,name:四川航兴建筑工程有限公司,四川航兴建筑工程有限公司,multiple_name_matches,8487;3415
xlsx_supplier_cooperat_company,name:四川荣岐耀建设有限公司,四川荣岐耀建设有限公司,multiple_name_matches,4588;2031
xlsx_supplier_cooperat_company,name:四川都江堰蜀龙防火材料有限公司,四川都江堰蜀龙防火材料有限公司,multiple_name_matches,2914;424
xlsx_supplier_cooperat_company,name:四川鑫垚建筑劳务有限公司,四川鑫垚建筑劳务有限公司,multiple_name_matches,7543;4371;1395
xlsx_supplier_cooperat_company,name:四川锦泰致远智能工程有限公司,四川锦泰致远智能工程有限公司,multiple_name_matches,5399;5012;3622
xlsx_supplier_cooperat_company,name:四川长腾建筑劳务有限公司,四川长腾建筑劳务有限公司,multiple_name_matches,8488;6359;4763
xlsx_supplier_cooperat_company,name:四川霖彬建材有限公司,四川霖彬建材有限公司,multiple_name_matches,6561;5211
xlsx_supplier_cooperat_company,name:四川鼎智盛工程项目管理有限公司,四川鼎智盛工程项目管理有限公司,multiple_name_matches,8492;4853
xlsx_supplier_cooperat_company,name:大通通利水泥制品有限公司,大通通利水泥制品有限公司,multiple_name_matches,8493;646;555
xlsx_supplier_cooperat_company,name:安平县创景丝网制品有限公司,安平县创景丝网制品有限公司,multiple_name_matches,2193;1042
xlsx_supplier_cooperat_company,name:宏安吊装,宏安吊装,multiple_name_matches,8495;3275
xlsx_supplier_cooperat_company,name:屏山县黄桷坝加油站,屏山县黄桷坝加油站,multiple_name_matches,2921;1387
xlsx_supplier_cooperat_company,name:布拖县三丰机械设备租赁有限公司,布拖县三丰机械设备租赁有限公司,multiple_name_matches,6336;461
xlsx_supplier_cooperat_company,name:布拖县志诚商贸有限公司,布拖县志诚商贸有限公司,multiple_name_matches,4899;990
xlsx_supplier_cooperat_company,name:布拖县民主加油站,布拖县民主加油站,multiple_name_matches,5915;1566
xlsx_supplier_cooperat_company,name:广安市鼎卓建筑工程咨询有限公司,广安市鼎卓建筑工程咨询有限公司,multiple_name_matches,4679;1583
xlsx_supplier_cooperat_company,name:广州峰华石材有限公司,广州峰华石材有限公司,multiple_name_matches,4515;2526
xlsx_supplier_cooperat_company,name:广州市成际贸易有限公司,广州市成际贸易有限公司,multiple_name_matches,2707;1694
xlsx_supplier_cooperat_company,name:广州市飞隆工程运输有限公司,广州市飞隆工程运输有限公司,multiple_name_matches,6568;6429;4639
xlsx_supplier_cooperat_company,name:广汉市丰众建材经营部,广汉市丰众建材经营部,multiple_name_matches,5499;4561;4529
xlsx_supplier_cooperat_company,name:广汉顺宏涂料有限公司,广汉顺宏涂料有限公司,multiple_name_matches,3569;3133
xlsx_supplier_cooperat_company,name:库尔班江依明,库尔班江·依明,multiple_name_matches,8498;6487;3433
xlsx_supplier_cooperat_company,name:德阳佰盛旌鸿贸易有限公司,德阳佰盛旌鸿贸易有限公司,multiple_name_matches,5614;5440
xlsx_supplier_cooperat_company,name:德阳兴灏工程机械租赁有限公司,德阳兴灏工程机械租赁有限公司,multiple_name_matches,8504;7577;6215
xlsx_supplier_cooperat_company,name:德阳凯达门业有限公司,德阳凯达门业有限公司,multiple_name_matches,1479;189
xlsx_supplier_cooperat_company,name:德阳市东汽实业开发有限责任公司加油站,德阳市东汽实业开发有限责任公司加油站,multiple_name_matches,5413;3486
xlsx_supplier_cooperat_company,name:德阳市中达建筑设备租赁有限公司,德阳市中达建筑设备租赁有限公司,multiple_name_matches,2819;291
xlsx_supplier_cooperat_company,name:德阳市九鼎机械设备租赁有限公司,德阳市九鼎机械设备租赁有限公司,multiple_name_matches,7390;5099;4442
xlsx_supplier_cooperat_company,name:德阳市区大宝漆专卖店,德阳市区大宝漆专卖店,multiple_name_matches,3329;2533
xlsx_supplier_cooperat_company,name:德阳市区天义光电检测行,德阳市区天义光电检测行,multiple_name_matches,4489;2439;1314
xlsx_supplier_cooperat_company,name:德阳市区永沁建材经营部,德阳市区永沁建材经营部,multiple_name_matches,7392;6459;4333
xlsx_supplier_cooperat_company,name:德阳市区汪哥木材经营部,德阳市区汪哥木材经营部,multiple_name_matches,3228;2472;638
xlsx_supplier_cooperat_company,name:德阳市区海旺建材经营部,德阳市区海旺建材经营部,multiple_name_matches,7346;5244;4544
xlsx_supplier_cooperat_company,name:德阳市区瑞克防水材料经营部,德阳市区瑞克防水材料经营部,multiple_name_matches,6015;4465
xlsx_supplier_cooperat_company,name:德阳市华壹商贸有限公司,德阳市华壹商贸有限公司,multiple_name_matches,8509;7598;3230
xlsx_supplier_cooperat_company,name:德阳市吉瑞租赁有限公司,德阳市吉瑞租赁有限公司,multiple_name_matches,5568;2121
xlsx_supplier_cooperat_company,name:德阳市浙民电器设备有限公司,德阳市浙民电器设备有限公司,multiple_name_matches,218;179
xlsx_supplier_cooperat_company,name:德阳市罗江区社会保险服务中心,德阳市罗江区社会保险服务中心,multiple_name_matches,4965;3728;1151
xlsx_supplier_cooperat_company,name:德阳市金庆物资有限公司,德阳市金庆物资有限公司,multiple_name_matches,5143;302
xlsx_supplier_cooperat_company,name:德阳开发区兰兰五金维修店,德阳开发区兰兰五金维修店,multiple_name_matches,5204;2042
xlsx_supplier_cooperat_company,name:德阳彤宁土石方工程有限公司,德阳彤宁土石方工程有限公司,multiple_name_matches,4124;1000
