partner_key,legacy_partner_source,legacy_partner_id,legacy_partner_ids,name,company_type,customer_rank,supplier_rank,sc_supplier_type,sc_account_name,sc_bank_name,sc_bank_account,vat,legacy_credit_code,source_created_by,source_created_at,source_project_name,source_document_state,source_push_result,source_tax_rate,source_files,legacy_source_evidence,review_flags
name:重庆标题风广告装饰有限公司,xlsx_supplier_cooperat_company,name:重庆标题风广告装饰有限公司,,重庆标题风广告装饰有限公司,company,0,1,other,,,,,,lilinxu,2021-10-14 18:53,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:重庆森比安管业有限公司,xlsx_supplier_cooperat_company,name:重庆森比安管业有限公司,,重庆森比安管业有限公司,company,0,1,other,,,,,,luyan,2022-12-26 15:03,公司综合平台,审核通过,,,2-4往来单位639136898155170000.xlsx,user_xlsx_supplier_cooperat_company:2-4往来单位639136898155170000.xlsx,duplicate_name_in_xlsx
name:重庆森邦来建筑劳务有限公司,xlsx_supplier_cooperat_company,name:重庆森邦来建筑劳务有限公司,,重庆森邦来建筑劳务有限公司,company,0,1,other,,,,,,lilinxu,2021-07-21 11:24,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:重庆欧峰实业有限公司,xlsx_supplier_cooperat_company,name:重庆欧峰实业有限公司,,重庆欧峰实业有限公司,company,0,1,other,,,,,,yangdesheng,2022-03-18 17:26,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:重庆汇尔固机电设备有限公司,xlsx_supplier_cooperat_company,name:重庆汇尔固机电设备有限公司,,重庆汇尔固机电设备有限公司,company,0,1,other,,,,,,liwei,2020-10-20 14:38,公司综合平台,审核通过,,,2-7往来单位639136900577513750.xlsx,user_xlsx_supplier_cooperat_company:2-7往来单位639136900577513750.xlsx,duplicate_name_in_xlsx
name:重庆浙奥家具有限公司,xlsx_supplier_cooperat_company,name:重庆浙奥家具有限公司,,重庆浙奥家具有限公司,company,0,1,other,,,,,,lilinxu,2021-04-06 11:12,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:重庆海贝机械有限公司,xlsx_supplier_cooperat_company,name:重庆海贝机械有限公司,,重庆海贝机械有限公司,company,0,1,other,,,,,,luyan,2022-12-19 17:04,公司综合平台,审核通过,,,2-4往来单位639136898155170000.xlsx,user_xlsx_supplier_cooperat_company:2-4往来单位639136898155170000.xlsx,duplicate_name_in_xlsx
name:重庆淇心机械设备租赁有限公司,xlsx_supplier_cooperat_company,name:重庆淇心机械设备租赁有限公司,,重庆淇心机械设备租赁有限公司,company,0,1,other,,,,,,lilinxu,2021-08-23 17:12,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:重庆渝宏鼎工程咨询有限公司,xlsx_supplier_cooperat_company,name:重庆渝宏鼎工程咨询有限公司,,重庆渝宏鼎工程咨询有限公司,company,0,1,other,,,,,,lilinxu,2022-05-07 12:13,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
name:重庆渝彩鸿途科技有限公司,xlsx_supplier_cooperat_company,name:重庆渝彩鸿途科技有限公司,,重庆渝彩鸿途科技有限公司,company,0,1,other,,,,,,lilinxu,2021-08-26 11:19,公司综合平台,审核通过,,,2-6往来单位639136899858138750.xlsx,user_xlsx_supplier_cooperat_company:2-6往来单位639136899858138750.xlsx,duplicate_name_in_xlsx
name:重庆澳龙体育设施工程有限公司,xlsx_supplier_cooperat_company,name:重庆澳龙体育设施工程有限公司,,重庆澳龙体育设施工程有限公司,company,0,1,other,,,,,,lilinxu,2021-11-24 14:33,公司综合平台,审核通过,,,2-5往来单位639136898994232500.xlsx,user_xlsx_supplier_cooperat_company:2-5往来单位639136898994232500.xlsx,duplicate_name_in_xlsx
